season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share,kda_enhanced,efficiency_score,role,popularity_tier,impact_score
2,Main,Cho'Gath,3,9.7,1.0,2,2.0,1,1,50.0,1.5,2.0,3.5,2.5,125.5,3.24,9.2,236.0,0.0,,,,,2.5,52.5,other,Bajo,5.092499999999999
2,Main,Zilean,2,6.5,,2,1.0,1,1,50.0,3.5,3.5,8.0,3.29,212.0,7.3,9.3,319.0,0.0,,,,,3.2857142857142856,53.285714285714285,other,Bajo,3.4635714285714285
2,Main,Darius,2,6.5,,2,2.0,0,2,0.0,2.5,4.0,2.5,1.25,188.0,5.05,8.8,238.0,0.0,,,,,1.25,1.25,other,Bajo,0.08125
2,Main,Nocturne,2,6.5,,2,2.0,0,2,0.0,2.5,5.5,9.0,2.09,224.5,4.65,12.9,267.0,0.0,,,,,2.090909090909091,2.090909090909091,other,Bajo,0.1359090909090909
2,Main,Ahri,2,6.5,1.0,1,1.0,1,0,100.0,6.0,0.0,3.0,9.0,184.0,6.13,11.4,380.0,0.0,,,,,9.0,109.0,other,Bajo,7.085
2,Main,Amumu,1,3.2,,1,1.0,1,0,100.0,4.0,6.0,16.0,3.33,145.0,3.47,12.4,297.0,0.0,,,,,3.3333333333333335,103.33333333333333,other,Bajo,3.3066666666666666
2,Main,Soraka,1,3.2,,1,1.0,1,0,100.0,1.0,0.0,11.0,12.0,12.0,0.34,8.3,232.0,0.0,,,,,12.0,112.0,other,Bajo,3.5840000000000005
2,Main,Jarvan IV,1,3.2,,1,1.0,0,1,0.0,6.0,3.0,14.0,6.67,297.0,7.16,14.0,337.0,0.0,,,,,6.666666666666667,6.666666666666667,other,Bajo,0.21333333333333335
2,Main,Riven,1,3.2,,1,1.0,0,1,0.0,2.0,6.0,1.0,0.5,242.0,5.97,10.2,251.0,0.0,,,,,0.5,0.5,other,Bajo,0.016
2,Main,Swain,1,3.2,,1,1.0,0,1,0.0,8.0,5.0,10.0,3.6,243.0,5.86,13.2,318.0,0.0,,,,,3.6,3.6,other,Bajo,0.11520000000000001
2,Main,Tristana,1,3.2,,1,1.0,0,1,0.0,0.0,5.0,0.0,0.0,200.0,7.01,7.0,245.0,0.0,,,,,0.0,0.0,other,Bajo,0.0
