season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share,kda,player_efficiency,economic_impact,performance_tier
1,Main,Team_gamed_21-de,Kev1n,5,1,4,20.0,1.4,2.6,2.0,1.31,206.8,5.91,9.2,262,0.0,,0.5666666666666667,,,1.3076923076923077,1.3076923076923077,9.2,Promedio
1,Main,Team_gamed_21-de,Nyph,5,1,4,20.0,0.2,2.8,6.0,2.21,16.2,0.46,7.3,208,0.0,,0.6888888888888889,,,2.2142857142857144,2.2142857142857144,7.3,Alto
1,Main,Team_gamed_21-de,Reyk,5,1,4,20.0,0.8,3.0,3.4,1.4,155.0,4.43,7.8,222,0.0,,0.5833333333333334,,,1.4000000000000001,1.4000000000000001,7.8,Promedio
1,Main,Team_gamed_21-de,Zylor,5,1,4,20.0,1.0,4.6,4.2,1.13,110.2,3.15,7.2,206,0.0,,0.5306122448979592,,,1.1304347826086958,1.1304347826086958,7.2,Promedio
1,Main,Pacific_eSports,iddo,3,0,3,0.0,1.0,2.0,2.0,1.5,135.67,4.92,6.2,225,0.0,,0.6,,,1.5,0.0,6.2,
1,Main,Pacific_eSports,vy,3,0,3,0.0,2.33,2.67,3.0,2.0,105.0,3.81,6.3,230,0.0,,0.66625,,,1.99625468164794,0.0,6.3,
1,Main,Pacific_eSports,dabe,3,0,3,0.0,0.67,4.0,2.67,0.83,77.67,2.82,5.5,198,0.0,,0.4550408719346049,,,0.835,0.0,5.5,
1,Main,Pacific_eSports,gibo,3,0,3,0.0,0.67,2.67,3.67,1.63,4.67,0.17,4.8,175,0.0,,0.6191155492154066,,,1.6254681647940075,0.0,4.8,
1,Main,Pacific_eSports,wormy,3,0,3,0.0,2.33,4.0,2.0,1.08,143.33,5.2,6.9,249,0.0,,0.5198079231692677,,,1.0825,0.0,6.9,
1,Main,TSM,Chaox,9,5,4,55.6,5.67,2.89,4.22,3.42,270.33,6.67,13.9,343,0.0,,0.7738654147104851,,,3.4221453287197234,17.110726643598618,13.9,Élite
1,Main,TSM,Reginald,9,5,4,55.6,4.0,3.89,6.11,2.6,215.11,5.31,12.1,298,0.0,,0.7221428571428571,,,2.598971722365038,12.99485861182519,12.1,Élite
1,Main,TSM,TheRainMan,9,5,4,55.6,4.0,1.78,7.44,6.44,199.11,4.91,13.3,329,0.0,,0.8653555219364599,,,6.426966292134832,32.134831460674164,13.3,Élite
1,Main,TSM,TheOddOne,9,5,4,55.6,1.67,1.78,8.22,5.56,126.33,3.12,10.2,252,0.0,,0.847472150814053,,,5.556179775280899,27.780898876404496,10.2,Élite
1,Main,TSM,Xpecial,9,5,4,55.6,0.78,2.56,8.0,3.43,26.11,0.64,8.3,206,0.0,,0.7742504409171075,,,3.4296874999999996,17.148437499999996,8.3,Élite
2,Main,Azubu_Frost,CloudTemplar,12,8,4,66.7,2.08,2.5,8.08,4.07,144.92,4.15,10.3,294,0.0,,0.8025276461295419,,,4.064,32.512,10.3,Élite
2,Main,Azubu_Frost,MadLife,12,8,4,66.7,1.0,2.5,9.67,4.27,30.42,0.87,8.7,248,0.0,,0.8101746393318148,,,4.268,34.144,8.7,Élite
2,Main,Azubu_Frost,RapidStar,12,8,4,66.7,4.0,2.5,6.5,4.2,256.58,7.34,12.0,342,0.0,,0.8076923076923077,,,4.2,33.6,12.0,Élite
2,Main,Azubu_Frost,Shy,12,8,4,66.7,3.67,2.83,4.83,3.0,243.17,6.96,11.6,331,0.0,,0.7502206531332745,,,3.0035335689045937,24.02826855123675,11.6,Élite
2,Main,Azubu_Frost,Woong,12,8,4,66.7,3.5,2.75,7.08,3.85,251.08,7.18,11.9,342,0.0,,0.7936984246061516,,,3.847272727272727,30.778181818181817,11.9,Élite
2,Main,Counter_Logic_Gaming,bigfatlp,3,1,2,33.3,3.67,2.33,1.67,2.29,210.0,6.88,9.4,308,0.0,,0.6962190352020861,,,2.2918454935622314,2.2918454935622314,9.4,Alto
2,Main,Counter_Logic_Gaming,Chauster,3,1,2,33.3,0.67,2.0,2.0,1.33,29.0,0.95,6.1,201,0.0,,0.5717344753747323,,,1.335,1.335,6.1,Promedio
2,Main,Counter_Logic_Gaming,Doublelift,3,1,2,33.3,1.0,3.33,2.67,1.1,258.33,8.46,9.8,322,0.0,,0.5242857142857142,,,1.102102102102102,1.102102102102102,9.8,Promedio
2,Main,Counter_Logic_Gaming,HotshotGG,3,1,2,33.3,0.67,2.67,2.67,1.25,115.33,3.78,6.9,225,0.0,,0.5557404326123128,,,1.250936329588015,1.250936329588015,6.9,Promedio
2,Main,Counter_Logic_Gaming,Voyboy,3,1,2,33.3,0.67,2.67,4.33,1.88,164.33,5.38,8.0,263,0.0,,0.651890482398957,,,1.8726591760299627,1.8726591760299627,8.0,Promedio
